rank,country,earning,players,tournaments
FIFA 15,18.,Finland,$391.90,3 Players
FIFA 15,19.,Ireland,$280.05,1 Player
FIFA 15,20.,Netherlands,$276.04,1 Player
FIFA 15,21.,Hungary,$234.49,1 Player
FIFA 15,22.,Italy,$165.61,1 Player
FIFA 15,23.,Ukraine,$61.02,1 Player
FIFA 15,24.,Maldives,$0.00,1 Player
FIFA 16,1.,Germany,"$35,842.63",25 Players
FIFA 16,2.,Denmark,"$32,095.62",9 Players
FIFA 16,3.,Malaysia,"$18,969.86",6 Players
FIFA 16,4.,United Kingdom,"$17,000.00",2 Players
FIFA 16,5.,France,"$5,000.00",3 Players
FIFA 16,6.,Viet Nam,"$2,541.85",1 Player
FIFA 16,7.,Malta,"$2,264.88",9 Players
FIFA 16,8.,Indonesia,"$1,368.70",2 Players
FIFA 16,9.,Sweden,"$1,023.00",2 Players
FIFA 16,10.,"Iran, Islamic Republic of","$1,000.00",1 Player
FIFA 16,11.,Switzerland,$313.85,1 Player
FIFA 16,12.,Belgium,$57.26,1 Player
FIFA 17,1.,United Kingdom,"$382,513.48",14 Players
FIFA 17,2.,France,"$244,921.17",7 Players
FIFA 17,3.,Germany,"$219,116.56",19 Players
FIFA 17,4.,United States,"$116,000.00",13 Players
FIFA 17,5.,Saudi Arabia,"$103,833.14",7 Players
FIFA 17,6.,Brazil,"$74,000.00",4 Players
FIFA 17,7.,Australia,"$44,000.00",11 Players
FIFA 17,8.,Denmark,"$40,139.98",7 Players
FIFA 17,9.,Italy,"$34,000.00",1 Player
FIFA 17,10.,Netherlands,"$30,000.00",5 Players
FIFA 17,11.,Japan,"$27,500.00",2 Players
FIFA 17,12.,Mexico,"$27,500.00",3 Players
FIFA 17,13.,Hong Kong,"$22,000.00",4 Players
FIFA 17,14.,Sweden,"$14,217.83",4 Players
FIFA 17,15.,Chile,"$13,500.00",1 Player
FIFA 17,16.,Colombia,"$13,500.00",1 Player
FIFA 17,17.,Russian Federation,"$12,799.30",4 Players
FIFA 17,18.,Canada,"$6,500.00",3 Players
FIFA 17,19.,New Zealand,"$6,000.00",1 Player
FIFA 17,20.,Malta,"$4,423.53",6 Players
FIFA 17,21.,Jordan,"$2,000.00",1 Player
FIFA 17,22.,Ukraine,"$1,886.30",2 Players
FIFA 17,23.,Poland,"$1,777.94",7 Players
