game,rank,country,earning,players
Call of Duty Black Ops 4,5.,Australia,"$118,517.33",43 Players
Call of Duty Black Ops 4,6.,Japan,"$96,147.00",20 Players
Call of Duty Black Ops 4,7.,France,"$86,136.95",29 Players
Call of Duty Black Ops 4,8.,Afghanistan,"$73,870.60",1 Player
Call of Duty Black Ops 4,9.,Ireland,"$54,125.00",1 Player
Call of Duty Black Ops 4,10.,Saudi Arabia,"$35,070.00",1 Player
Call of Duty Black Ops 4,11.,Italy,"$24,212.50",6 Players
Call of Duty Black Ops 4,12.,Germany,"$10,200.00",5 Players
Call of Duty Black Ops 4,13.,Denmark,"$8,700.00",1 Player
Call of Duty Black Ops 4,14.,Singapore,"$5,600.00",4 Players
Call of Duty Black Ops 4,15.,Malaysia,"$4,800.00",2 Players
Call of Duty Black Ops 4,16.,South Africa,"$3,250.00",15 Players
Call of Duty Black Ops 4,17.,Philippines,"$2,400.00",1 Player
Call of Duty Black Ops 4,18.,Belgium,$850.00,2 Players
Call of Duty Black Ops 4,19.,New Zealand,$688.50,2 Players
Call of Duty Black Ops 4,20.,Portugal,$567.80,5 Players
Call of Duty Black Ops 4,21.,"Korea, Republic of",$400.00,2 Players
Call of Duty Black Ops Cold War,1.,United States,"$3,910,791.63",136 Players
Call of Duty Black Ops Cold War,2.,United Kingdom,"$1,223,875.00",57 Players
Call of Duty Black Ops Cold War,3.,Canada,"$352,833.33",14 Players
Call of Duty Black Ops Cold War,4.,Denmark,"$285,625.00",1 Player
Call of Duty Black Ops Cold War,5.,Spain,"$136,000.00",15 Players
Call of Duty Black Ops Cold War,6.,Australia,"$120,750.00",24 Players
Call of Duty Black Ops Cold War,7.,Afghanistan,"$73,750.00",1 Player
Call of Duty Black Ops Cold War,8.,France,"$67,375.00",3 Players
Call of Duty Black Ops Cold War,9.,Saudi Arabia,"$55,000.00",1 Player
Call of Duty Black Ops Cold War,10.,Belgium,"$26,125.00",2 Players
Call of Duty Black Ops Cold War,11.,Ireland,"$13,375.00",1 Player
Call of Duty Black Ops Cold War,12.,Italy,"$10,250.00",5 Players
Call of Duty Black Ops Cold War,13.,Poland,"$4,750.00",4 Players
Call of Duty Black Ops Cold War,14.,Japan,"$4,000.00",4 Players
Call of Duty Black Ops Cold War,15.,Sweden,"$1,625.00",3 Players
Call of Duty Black Ops Cold War,16.,New Zealand,"$1,500.00",1 Player
Call of Duty Black Ops Cold War,17.,Portugal,"$1,375.00",1 Player
Call of Duty Black Ops Cold War,18.,South Africa,$250.00,1 Player
Call of Duty Black Ops III,1.,United States,"$2,262,784.62",127 Players
Call of Duty Black Ops III,2.,United Kingdom,"$894,569.76",86 Players
Call of Duty Black Ops III,3.,Australia,"$301,284.93",49 Players
Call of Duty Black Ops III,4.,Canada,"$124,619.50",12 Players
Call of Duty Black Ops III,5.,New Zealand,"$100,114.53",8 Players
Call of Duty Black Ops III,6.,Spain,"$88,737.93",41 Players
Call of Duty Black Ops III,7.,France,"$67,109.95",27 Players
Call of Duty Black Ops III,8.,Ireland,"$41,299.45",2 Players
Call of Duty Black Ops III,9.,Singapore,"$6,000.00",5 Players
Call of Duty Black Ops III,10.,Belgium,"$5,844.87",5 Players
Call of Duty Black Ops III,11.,Bulgaria,"$5,118.66",2 Players
Call of Duty Black Ops III,12.,Germany,"$4,373.96",15 Players
Call of Duty Black Ops III,13.,South Africa,"$4,320.00",4 Players
Call of Duty Black Ops III,14.,Sweden,"$4,093.56",3 Players
Call of Duty Black Ops III,15.,Finland,"$4,000.00",5 Players
Call of Duty Black Ops III,16.,Malaysia,"$3,000.00",3 Players
Call of Duty Black Ops III,17.,Switzerland,"$1,662.50",1 Player
Call of Duty Black Ops III,18.,"Taiwan, Republic of China","$1,000.00",4 Players
Call of Duty Black Ops III,19.,Denmark,$761.16,4 Players
Call of Duty Black Ops III,20.,Hong Kong,$750.00,3 Players
Call of Duty Black Ops III,21.,Netherlands,$583.22,6 Players
Call of Duty Black Ops III,22.,Italy,$266.84,6 Players
Call of Duty Black Ops III,23.,Philippines,$250.00,1 Player
Call of Duty Black Ops III,24.,Malta,$227.92,4 Players
Call of Duty Black Ops III,25.,Greece,$62.50,1 Player
Call of Duty Blackout,1.,United States,"$429,158.72",135 Players
Call of Duty Blackout,2.,Canada,"$62,725.00",8 Players
Call of Duty Blackout,3.,United Kingdom,"$40,589.64",15 Players
Call of Duty Blackout,4.,Russian Federation,"$13,100.00",9 Players
Call of Duty Blackout,5.,France,"$7,050.00",6 Players
Call of Duty Blackout,6.,Turkey,"$6,075.00",4 Players
Call of Duty Blackout,7.,Afghanistan,"$3,375.00",1 Player
Call of Duty Blackout,8.,Sweden,"$2,200.00",3 Players
Call of Duty Blackout,9.,Spain,"$1,750.00",5 Players
Call of Duty Blackout,10.,Poland,"$1,250.00",2 Players
Call of Duty Blackout,11.,Estonia,"$1,175.00",1 Player
Call of Duty Blackout,12.,Finland,"$1,175.00",1 Player
Call of Duty Blackout,13.,Italy,$800.00,2 Players
Call of Duty Blackout,14.,Hungary,$675.00,1 Player
Call of Duty Blackout,15.,Saudi Arabia,$125.00,1 Player
Call of Duty Ghosts,1.,United States,"$1,136,779.78",77 Players
Call of Duty Ghosts,2.,Canada,"$208,514.26",9 Players
Call of Duty Ghosts,3.,Australia,"$79,612.52",17 Players
Call of Duty Ghosts,4.,United Kingdom,"$72,519.53",33 Players
Call of Duty Ghosts,5.,France,"$24,088.27",22 Players
Call of Duty Ghosts,6.,Spain,"$8,354.48",30 Players
Call of Duty Ghosts,7.,Ireland,"$7,821.51",1 Player
Call of Duty Ghosts,8.,Bulgaria,$982.88,2 Players
Call of Duty Ghosts,9.,Sweden,$406.20,4 Players
Call of Duty Ghosts,10.,Netherlands,$270.80,4 Players
Call of Duty Infinite Warfare,1.,United States,"$2,706,125.00",115 Players
Call of Duty Infinite Warfare,2.,United Kingdom,"$704,246.32",56 Players
Call of Duty Infinite Warfare,3.,Canada,"$427,591.32",44 Players
Call of Duty Infinite Warfare,4.,Australia,"$123,399.23",37 Players
Call of Duty Infinite Warfare,5.,Ireland,"$90,450.00",1 Player
Call of Duty Infinite Warfare,6.,France,"$28,319.04",15 Players
Call of Duty Infinite Warfare,7.,Singapore,"$17,000.00",10 Players
Call of Duty Infinite Warfare,8.,New Zealand,"$16,058.81",9 Players
Call of Duty Infinite Warfare,9.,Netherlands,"$8,606.34",8 Players
Call of Duty Infinite Warfare,10.,Sweden,"$4,350.00",1 Player
Call of Duty Infinite Warfare,11.,Finland,"$4,125.00",1 Player
Call of Duty Infinite Warfare,12.,Belgium,"$3,483.99",12 Players
Call of Duty Infinite Warfare,13.,Malaysia,"$3,000.00",2 Players
Call of Duty Infinite Warfare,14.,South Africa,"$2,313.00",18 Players
Call of Duty Infinite Warfare,15.,Spain,"$1,350.00",6 Players
Call of Duty Infinite Warfare,16.,Germany,$812.26,6 Players
Call of Duty Infinite Warfare,17.,Austria,$125.00,1 Player
Call of Duty Infinite Warfare,18.,Switzerland,$42.21,1 Player
Call of Duty Mobile,1.,China,"$1,832,651.29",82 Players
Call of Duty Mobile,2.,Philippines,"$543,500.03",21 Players
Call of Duty Mobile,3.,United States,"$540,583.37",17 Players
Call of Duty Mobile,4.,Mexico,"$389,916.69",11 Players
Call of Duty Mobile,5.,Brazil,"$365,000.00",22 Players
Call of Duty Mobile,6.,Japan,"$224,999.98",13 Players
Call of Duty Mobile,7.,Canada,"$216,916.67",4 Players
Call of Duty Mobile,8.,India,"$205,000.08",25 Players
Call of Duty Mobile,9.,Singapore,"$171,750.00",5 Players
Call of Duty Mobile,10.,Russian Federation,"$171,666.67",1 Player
Call of Duty Mobile,11.,United Kingdom,"$138,692.86",17 Players
Call of Duty Mobile,12.,France,"$126,691.66",11 Players
Call of Duty Mobile,13.,"Taiwan, Republic of China","$87,446.85",9 Players
Call of Duty Mobile,14.,Puerto Rico,"$85,166.67",2 Players
Call of Duty Mobile,15.,Indonesia,"$56,000.04",7 Players
Call of Duty Mobile,16.,Malaysia,"$51,750.00",7 Players
Call of Duty Mobile,17.,Spain,"$47,173.82",5 Players
Call of Duty Mobile,18.,Belgium,"$40,000.00",1 Player
Call of Duty Mobile,19.,Ecuador,"$36,000.00",1 Player
Call of Duty Mobile,20.,Myanmar,"$36,000.00",1 Player
Call of Duty Mobile,21.,Greece,"$25,000.00",1 Player
Call of Duty Mobile,22.,Venezuela,"$21,750.00",3 Players
Call of Duty Mobile,23.,Thailand,"$20,499.96",12 Players
Call of Duty Mobile,24.,Netherlands,"$18,000.00",2 Players
Call of Duty Mobile,25.,Mongolia,"$13,750.00",1 Player
Call of Duty Mobile,26.,Argentina,"$10,083.33",2 Players
Call of Duty Mobile,27.,Germany,"$8,083.34",3 Players
Call of Duty Mobile,28.,Honduras,"$8,000.00",1 Player
Call of Duty Mobile,29.,Viet Nam,"$8,000.00",1 Player
Call of Duty Mobile,30.,Iraq,"$7,083.33",1 Player
Call of Duty Mobile,31.,Czech Republic,"$5,400.00",1 Player
Call of Duty Mobile,32.,Dominican Republic,"$3,333.34",2 Players
Call of Duty Mobile,33.,Ireland,"$1,708.34",2 Players
Call of Duty Modern Warfare,1.,United States,"$4,997,850.00",192 Players
Call of Duty Modern Warfare,2.,United Kingdom,"$1,161,476.88",74 Players
Call of Duty Modern Warfare,3.,Canada,"$484,300.00",24 Players
Call of Duty Modern Warfare,4.,Saudi Arabia,"$345,250.00",1 Player
Call of Duty Modern Warfare,5.,Australia,"$190,020.00",41 Players
Call of Duty Modern Warfare,6.,Denmark,"$74,730.64",5 Players
Call of Duty Modern Warfare,7.,Japan,"$49,050.00",24 Players
Call of Duty Modern Warfare,8.,France,"$47,250.00",19 Players
Call of Duty Modern Warfare,9.,Spain,"$38,150.00",22 Players
Call of Duty Modern Warfare,10.,Afghanistan,"$34,000.00",1 Player
Call of Duty Modern Warfare,11.,Belgium,"$27,000.00",2 Players
Call of Duty Modern Warfare,12.,Italy,"$5,500.00",7 Players
Call of Duty Modern Warfare,13.,Portugal,"$5,212.50",7 Players
