Country,BattleRoyale,CollectibleCardGame,FPS,FightingGame,MOBA,Music,Puzzle,RPG,Racing,Sports,Strategy,TPS
New Zealand,32.0,18.782608695652176,7.0,5.5,22.77777777777778,39.888888888888886,30.555555555555557,24.0,36.25,46.0,21.5,11.0
Nicaragua,80.0,114.0,36.0,17.0,9.5,56.0,74.5,51.0,50.5,55.0,78.0,13.5
Nigeria,80.0,114.0,36.0,17.0,61.0,75.0,106.0,51.0,62.0,55.0,78.0,13.5
North Macedonia,80.0,55.333333333333336,36.0,17.0,61.0,29.0,46.5,19.166666666666668,87.0,55.0,78.0,13.5
Northern Mariana Islands,80.0,31.0,36.0,17.0,61.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
Norway,22.2,17.34375,17.0,3.0,12.222222222222221,18.15,18.0,15.833333333333334,12.333333333333334,28.0,25.0,7.0
Oman,80.0,114.0,36.0,17.0,22.0,75.0,106.0,51.0,61.5,55.0,55.0,13.5
Pakistan,80.0,54.6,36.0,17.0,9.444444444444445,35.333333333333336,50.0,51.0,34.0,55.0,78.0,13.5
"Palestine, State of",33.0,74.66666666666667,36.0,17.0,25.0,75.0,58.5,51.0,59.5,55.0,55.0,13.5
Panama,80.0,76.66666666666667,36.0,17.0,26.375,42.0,43.0,51.0,72.33333333333333,55.0,41.75,13.5
Papua New Guinea,80.0,46.0,36.0,17.0,61.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
Paraguay,80.0,72.33333333333333,36.0,17.0,34.0,46.333333333333336,97.0,51.0,57.75,55.0,78.0,13.5
Peru,30.0,43.0,36.0,17.0,19.333333333333332,17.80952380952381,28.75,45.0,55.4,13.0,23.0,13.5
Philippines,24.6,27.071428571428573,4.0,3.0,19.2,29.875,16.6,26.0,28.5,21.0,44.0,2.5
Poland,13.375,12.897435897435898,3.0,10.0,19.166666666666668,12.916666666666666,21.153846153846153,7.818181818181818,30.2,3.0,13.666666666666666,7.0
Portugal,18.0,17.68,36.0,11.0,20.0,26.214285714285715,30.625,18.3,30.714285714285715,32.0,11.066666666666666,13.5
Puerto Rico,80.0,37.57142857142857,36.0,17.0,10.264705882352942,26.5,51.5,42.0,53.8,55.0,7.5,5.0
Qatar,80.0,67.0,36.0,17.0,25.5,22.0,106.0,51.0,68.0,55.0,39.333333333333336,13.5
Reunion,80.0,114.0,36.0,17.0,61.0,75.0,106.0,51.0,109.0,55.0,58.0,13.5
Romania,21.0,33.38461538461539,20.0,16.0,23.75,28.0,24.22222222222222,26.0,46.75,18.0,15.153846153846153,13.5
Russian Federation,9.818181818181818,7.225,9.0,17.0,15.631578947368421,8.04,10.529411764705882,13.6,7.0,16.0,17.38888888888889,8.0
Saint Barthélemy,80.0,114.0,36.0,10.0,61.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
Saint Kitts and Nevis,80.0,114.0,36.0,17.0,61.0,40.0,106.0,51.0,109.0,55.0,78.0,13.5
Saint Martin,80.0,112.0,36.0,17.0,61.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
Saudi Arabia,37.0,12.5625,16.0,17.0,17.214285714285715,42.0,34.0,51.0,24.333333333333332,55.0,6.909090909090909,13.5
Senegal,80.0,114.0,36.0,17.0,24.0,75.0,93.0,51.0,91.0,55.0,26.4,13.5
Serbia,34.0,33.8125,36.0,17.0,31.0,26.75,30.833333333333332,35.4,44.25,55.0,40.5,7.0
Singapore,23.5,18.08,36.0,17.0,11.608695652173912,22.3,16.5,20.77777777777778,45.8,50.0,19.5,13.5
Slovakia,27.0,30.357142857142858,8.5,17.0,42.0,40.125,29.4,18.076923076923077,54.333333333333336,55.0,36.4,13.5
Slovenia,34.75,39.55555555555556,7.0,17.0,61.0,28.333333333333332,34.5,17.125,45.666666666666664,55.0,47.333333333333336,13.5
South Africa,33.75,26.9,36.0,17.0,28.0,41.5,62.5,28.0,64.66666666666667,55.0,19.555555555555557,13.5
Spain,15.666666666666666,13.066666666666666,9.666666666666666,17.0,11.407407407407407,13.0,22.923076923076923,10.0,30.5,26.0,5.615384615384615,7.5
Sri Lanka,80.0,73.0,36.0,17.0,40.0,56.666666666666664,54.5,51.0,99.0,55.0,78.0,13.5
Sudan,80.0,114.0,36.0,17.0,61.0,75.0,106.0,51.0,82.0,55.0,78.0,13.5
Sweden,16.88888888888889,7.39622641509434,5.8,11.5,9.764705882352942,15.24,11.733333333333333,10.68421052631579,17.875,9.0,8.4,6.0
Switzerland,31.0,25.46153846153846,13.0,17.0,19.75,28.625,36.625,16.333333333333332,43.75,15.0,25.833333333333332,13.5
Syrian Arab Republic,64.0,65.66666666666667,36.0,17.0,61.0,54.5,55.25,51.0,35.666666666666664,55.0,78.0,13.5
"Taiwan, Republic of China",17.166666666666668,25.307692307692307,13.0,4.6,13.217391304347826,18.785714285714285,23.0,14.75,12.25,20.0,4.0,13.5
Tajikistan,80.0,114.0,36.0,17.0,61.0,75.0,106.0,51.0,91.0,55.0,78.0,13.5
"Tanzania, United Republic of",32.0,114.0,36.0,17.0,61.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
Thailand,25.833333333333332,16.666666666666668,5.0,17.0,21.416666666666668,25.285714285714285,17.5,19.5,20.0,41.0,18.625,13.5
Togo,80.0,114.0,36.0,17.0,42.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
Trinidad and Tobago,80.0,61.5,36.0,17.0,11.5,75.0,94.0,51.0,95.0,55.0,78.0,13.5
Tunisia,43.5,66.6,36.0,17.0,39.5,29.5,44.0,51.0,62.0,42.0,20.0,13.5
Turkey,22.75,17.142857142857142,36.0,17.0,29.75,24.6875,19.6,18.0,18.857142857142858,33.0,21.23076923076923,13.5
Turkmenistan,80.0,114.0,36.0,17.0,61.0,15.0,72.0,51.0,109.0,55.0,78.0,13.5
Tuvalu,80.0,114.0,36.0,17.0,61.0,75.0,106.0,51.0,100.0,55.0,78.0,13.5
Uganda,80.0,114.0,36.0,17.0,61.0,41.0,34.0,51.0,109.0,55.0,78.0,13.5
Ukraine,19.0,18.565217391304348,35.0,11.0,9.0,20.05,16.0,31.666666666666668,22.833333333333332,53.0,23.857142857142858,13.5
United Arab Emirates,26.0,39.833333333333336,36.0,17.0,18.0,31.77777777777778,53.666666666666664,49.0,45.0,55.0,25.25,13.5
United Kingdom,12.11111111111111,5.453333333333333,6.0,5.0,4.862068965517241,10.297297297297296,17.214285714285715,3.3214285714285716,9.88888888888889,5.0,4.068965517241379,3.25
United States,2.7857142857142856,1.94,2.875,1.4,1.341317365269461,3.688888888888889,3.4,4.6923076923076925,5.833333333333333,1.4,2.9347826086956523,1.0
United States Minor Outlying Islands,80.0,114.0,36.0,17.0,58.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
Uruguay,38.8,46.0,36.0,17.0,57.333333333333336,45.75,35.5,47.0,46.0,45.0,44.666666666666664,13.5
Uzbekistan,36.0,43.5,36.0,17.0,31.0,11.0,43.0,51.0,64.0,55.0,30.0,13.5
Venezuela,72.0,43.0,36.0,17.0,32.5,37.5,38.57142857142857,30.0,43.714285714285715,55.0,35.333333333333336,13.5
Viet Nam,32.4,38.625,4.0,17.0,15.076923076923077,17.23076923076923,15.714285714285714,38.0,21.5,39.0,7.833333333333333,13.5
"Virgin Islands, U.S.",80.0,114.0,36.0,17.0,61.0,75.0,106.0,50.0,109.0,55.0,78.0,13.5
Wallis And Futuna,80.0,27.0,36.0,17.0,61.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
Yemen,80.0,114.0,36.0,17.0,57.0,75.0,28.0,51.0,68.33333333333333,55.0,40.0,13.5
Zambia,80.0,114.0,36.0,17.0,16.5,75.0,106.0,51.0,109.0,55.0,78.0,13.5
Zimbabwe,80.0,114.0,36.0,17.0,61.0,32.0,106.0,51.0,86.0,55.0,78.0,13.5
Åland Islands,80.0,28.0,36.0,17.0,61.0,61.0,21.0,51.0,109.0,55.0,78.0,13.5
