Game Genre,Country,Ranking
Sports,Viet Nam,50.0
Sports,Indonesia,50.0
Sports,Malaysia,50.0
Sports,United States,1.0
Sports,"Korea, Republic of",2.0
Sports,Germany,3.0
Sports,Poland,4.0
Sports,China,5.0
Sports,France,6.0
Sports,Brazil,7.0
Sports,United Kingdom,8.0
Sports,Australia,9.0
Sports,Canada,10.0
Strategy,Mexico,50.0
Strategy,Italy,50.0
Strategy,Russian Federation,50.0
Strategy,Australia,50.0
Strategy,Canada,50.0
Strategy,"Korea, Republic of",50.0
Strategy,Latvia,50.0
Strategy,Sweden,50.0
Strategy,Hungary,50.0
Strategy,Poland,50.0
Strategy,Thailand,50.0
Strategy,Netherlands,50.0
Strategy,Finland,50.0
Strategy,China,50.0
Strategy,India,50.0
Strategy,Japan,50.0
Strategy,Philippines,50.0
Strategy,Jordan,50.0
Strategy,Azerbaijan,50.0
Strategy,Croatia,50.0
Strategy,Viet Nam,50.0
Strategy,Indonesia,50.0
Strategy,Malaysia,50.0
Strategy,Germany,1.0
Strategy,United States,2.0
Strategy,"Taiwan, Republic of China",3.0
Strategy,United Kingdom,4.0
Strategy,France,5.0
Strategy,Brazil,6.0
Strategy,Spain,7.0
Strategy,Saudi Arabia,8.0
Strategy,Denmark,9.0
Strategy,Puerto Rico,10.0
TPS,Italy,50.0
TPS,Russian Federation,50.0
TPS,Australia,50.0
TPS,"Korea, Republic of",50.0
TPS,Latvia,50.0
TPS,Brazil,50.0
TPS,Germany,50.0
TPS,Spain,50.0
TPS,Poland,50.0
TPS,Thailand,50.0
TPS,"Taiwan, Republic of China",50.0
TPS,Saudi Arabia,50.0
TPS,Netherlands,50.0
TPS,Finland,50.0
TPS,China,50.0
TPS,India,50.0
TPS,Japan,50.0
TPS,Jordan,50.0
TPS,Azerbaijan,50.0
TPS,Croatia,50.0
TPS,Viet Nam,50.0
TPS,Indonesia,50.0
TPS,Malaysia,50.0
TPS,United States,1.0
TPS,Mexico,2.0
TPS,Philippines,3.0
TPS,United Kingdom,4.0
TPS,Hungary,5.0
TPS,France,6.0
TPS,Puerto Rico,7.0
TPS,Sweden,8.0
TPS,Canada,9.0
TPS,Denmark,10.0
