Country,BattleRoyale,CollectibleCardGame,FPS,FightingGame,MOBA,Music,Puzzle,RPG,Racing,Sports,Strategy,TPS
Sri Lanka,0.0,41.0,0.0,0.0,21.0,18.333333333333343,51.5,0.0,10.0,0.0,0.0,0.0
Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0
Sweden,63.111111111111114,106.60377358490567,30.2,5.5,51.23529411764706,59.76,94.26666666666667,40.31578947368421,91.125,46.0,69.6,7.5
Switzerland,49.0,88.53846153846155,23.0,0.0,41.25,46.375,69.375,34.66666666666667,65.25,40.0,52.16666666666667,0.0
Syrian Arab Republic,16.0,48.33333333333333,0.0,0.0,0.0,20.5,50.75,0.0,73.33333333333334,0.0,0.0,0.0
"Taiwan, Republic of China",62.83333333333333,88.6923076923077,23.0,12.4,47.78260869565217,56.214285714285715,83.0,36.25,96.75,35.0,74.0,0.0
Tajikistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
"Tanzania, United Republic of",48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thailand,54.16666666666667,97.33333333333333,31.0,0.0,39.58333333333333,49.714285714285715,88.5,31.5,89.0,14.0,59.375,0.0
Togo,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trinidad and Tobago,0.0,52.5,0.0,0.0,49.5,0.0,12.0,0.0,14.0,0.0,0.0,0.0
Tunisia,36.5,47.400000000000006,0.0,0.0,21.5,45.5,62.0,0.0,47.0,13.0,58.0,0.0
Turkey,57.25,96.85714285714286,0.0,0.0,31.25,50.3125,86.4,33.0,90.14285714285714,22.0,56.769230769230774,0.0
Turkmenistan,0.0,0.0,0.0,0.0,0.0,60.0,34.0,0.0,0.0,0.0,0.0,0.0
Tuvalu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Uganda,0.0,0.0,0.0,0.0,0.0,34.0,72.0,0.0,0.0,0.0,0.0,0.0
Ukraine,61.0,95.43478260869566,1.0,6.0,52.0,54.95,90.0,19.333333333333332,86.16666666666667,2.0,54.14285714285714,0.0
United Arab Emirates,54.0,74.16666666666666,0.0,0.0,43.0,43.22222222222222,52.33333333333334,2.0,64.0,0.0,52.75,0.0
United Kingdom,67.88888888888889,108.54666666666667,30.0,12.0,56.13793103448276,64.70270270270271,88.78571428571428,47.67857142857143,99.11111111111111,50.0,73.93103448275862,10.25
United States,77.21428571428571,112.06,33.125,15.6,59.65868263473054,71.31111111111112,102.6,46.30769230769231,103.16666666666667,53.6,75.06521739130434,12.5
United States Minor Outlying Islands,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,41.2,68.0,0.0,0.0,3.6666666666666643,29.25,70.5,4.0,63.0,10.0,33.33333333333334,0.0
Uzbekistan,44.0,70.5,0.0,0.0,30.0,64.0,63.0,0.0,45.0,0.0,48.0,0.0
Venezuela,8.0,71.0,0.0,0.0,28.5,37.5,67.42857142857143,21.0,65.28571428571428,0.0,42.666666666666664,0.0
Viet Nam,47.6,75.375,32.0,0.0,45.92307692307692,57.769230769230774,90.28571428571429,13.0,87.5,16.0,70.16666666666667,0.0
"Virgin Islands, U.S.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Wallis And Futuna,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yemen,0.0,0.0,0.0,0.0,4.0,0.0,78.0,0.0,40.66666666666667,0.0,38.0,0.0
Zambia,0.0,0.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zimbabwe,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,23.0,0.0,0.0,0.0
Åland Islands,0.0,86.0,0.0,0.0,0.0,14.0,85.0,0.0,0.0,0.0,0.0,0.0
