Country,BattleRoyale,CollectibleCardGame,FPS,FightingGame,MOBA,Music,Puzzle,RPG,Racing,Sports,Strategy,TPS
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009693053311793215,0.0,0.0,0.0
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.1253616200578592,0.0,0.0,0.0,0.0,0.0
Bolivia,0.66049953746531,0.00892379082634303,0.0,0.0,0.7375288567700492,0.5208565196100254,0.6123432979749277,0.0,0.3974151857835218,0.0,0.013296965564268667,0.0
Bosnia and Herzegovina,0.07770582793709528,0.7442441549170088,0.0,0.0,0.0,0.4253661576815208,0.3085824493731919,0.0,0.6474959612277867,0.0,0.0,0.0
Botswana,0.0,0.1517044440478315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,0.8705930722581972,0.9068802427271104,0.3582089552238806,0.9375,0.8800060222824451,0.8478557902054318,0.9120861459337832,0.8039950062421972,0.982875605815832,0.9390547263681592,0.9670520410377214,0.0
Brunei Darussalam,0.0,0.2632518293771194,0.0,0.0,0.0,0.32954191336865063,0.5785920925747348,0.0,0.3441033925686591,0.0,0.3324241391067167,0.0
Bulgaria,0.6151711378353377,0.8031411743708727,0.23880597014925373,0.0,0.6257820602897386,0.6470640609001468,0.8076181292189006,0.43625468164794007,0.3368336025848142,0.0,0.7723320831912717,0.0
Cambodia,0.0,0.4372657504908085,0.0,0.0,0.050286058416139714,0.0,0.6605593056894888,0.0,0.5088852988691438,0.0,0.0,0.0
Canada,0.8995038264233455,0.9692996458134852,0.8880597014925373,0.875,0.9352522701341904,0.9131015447624983,0.899831243972999,0.8836953807740324,0.9712439418416801,0.914179104477612,0.9253479217679695,0.5866666666666667
Chile,0.7493061979648474,0.730128340337157,0.1791044776119403,0.0,0.7854203409758966,0.7108612795742743,0.6882835101253616,0.5584269662921348,0.7463651050080775,0.8022388059701492,0.7224684623252642,0.0
China,0.9130434782608696,0.9369980367660182,0.8507462686567164,0.0,0.8794472883000435,0.9779560204316663,1.0,0.8179775280898876,0.9518578352180936,0.960820895522388,0.8853562904875554,0.0
Colombia,0.6151711378353377,0.7287762508180141,0.0,0.5625,0.5004660099511048,0.5787699368254058,0.5994856959177113,0.4963795255930088,0.6630048465266559,0.0,0.6927719058983975,0.28
Costa Rica,0.4403330249768733,0.40603248259860786,0.0,0.25,0.7756243555701551,0.44312870052976006,0.5946640951462552,0.0,0.43618739903069464,0.0,0.24599386293897035,0.0
Croatia,0.5309898242368178,0.7846561790877337,0.44776119402985076,0.0,0.9302920806985847,0.6580821795842051,0.7545805207328833,0.662421972534332,0.7399030694668821,0.0,0.5739856801909308,0.0
Cuba,0.12950971322849214,0.44842048902373727,0.0,0.0,0.0,0.6899345590526643,0.33751205400192863,0.8599250936329588,0.5589660743134087,0.0,0.0,0.0
Cyprus,0.06475485661424607,0.062466535784401214,0.0,0.0,0.0,0.0,0.019286403085824494,0.0,0.48465266558966075,0.0,0.0,0.0
Czech Republic,0.843663274745606,0.8112150803566117,0.11940298507462686,0.0,0.599242196125665,0.6996768955733053,0.6910961105753776,0.8350187265917602,0.6552504038772212,0.14925373134328357,0.6050119331742243,0.0
Côte D'Ivoire,0.0,0.0,0.0,0.0,0.5252099434574592,0.7291991274540355,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,0.7738205365402406,0.9145533507482463,0.8059701492537313,0.0,0.6965550313939354,0.7581801184169522,0.9038309809765933,0.8651685393258427,0.9717285945072698,0.6809701492537313,0.9430617115581316,0.52
Dominican Republic,0.0,0.5693378547206853,0.0,0.0,0.799646928931163,0.4382206294795886,0.6509161041465766,0.1887640449438202,0.691437802907916,0.0,0.5052846914422093,0.0
Ecuador,0.0,0.5672981311032355,0.0,0.0,0.58667068152163,0.4347148644437519,0.54725168756027,0.0,0.3489499192245557,0.0,0.3279918172519604,0.0
Egypt,0.6022201665124884,0.5959109207369068,0.0,0.0,0.27657332128876844,0.7191826559230734,0.6870781099324975,0.0,0.6203554119547657,0.2052238805970149,0.6329355608591886,0.0
El Salvador,0.8288621646623497,0.46403712296983757,0.0,0.0,0.0,0.5375506388282955,0.20250723240115717,0.0,0.06785137318255251,0.0,0.0,0.0
Estonia,0.5957446808510639,0.8574599011399172,0.0,0.0,0.0,0.4150825802430664,0.7356385177021627,0.698588303082685,0.5282714054927302,0.3731343283582089,0.5584725536992841,0.0
Ethiopia,0.0,0.6246653578440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faroe Islands,0.0,0.6112796716044976,0.0,0.0,0.0,0.0,0.009643201542912247,0.0,0.0,0.0,0.0,0.0
Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26171243941841676,0.0,0.0,0.0
Finland,0.7851526364477336,0.9172382142219729,0.835820895522388,0.5,0.7801958154261678,0.7792814851088455,0.8239579984999464,0.9069063670411985,0.901453957996769,0.7182835820895522,0.8551610978520287,0.0
France,0.9285846438482888,0.9544399915629613,0.9353233830845771,0.875,0.9202348690153568,0.9285895138672483,0.8976213436194149,0.9729128911441344,0.909935379644588,0.9514925373134329,0.9738071839714406,0.72
French Polynesia,0.0,0.33018026057469213,0.0,0.0,0.3855264478570712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09693053311793215,0.0,0.0,0.0
Georgia,0.0,0.710928669165328,0.0,0.0,0.5978453611696611,0.7011530071673417,0.44358727097396333,0.35655430711610486,0.5379644588045234,0.0,0.0,0.0
Germany,0.9454209065679927,0.9493761982348166,1.0,0.4375,0.8946129249652285,0.9631839024173083,0.9241401478624236,0.9911456832805147,0.9111470113085621,0.9701492537313433,1.0,0.52
Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6648482782134334,0.0
Gibraltar,0.0,0.6603605211493843,0.0,0.0,0.0,0.0,0.0,0.0,0.7366720516962842,0.0,0.0,0.0
Greece,0.7641073080481037,0.6692843119757272,0.0,0.0,0.7393913033780544,0.679705974006929,0.706364513018322,0.6764044943820224,0.6155088852988692,0.07462686567164178,0.9174906239345381,0.0
Greenland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3586429725363489,0.0,0.0,0.0
Guatemala,0.6086956521739131,0.5907549527039087,0.208955223880597,0.0,0.5475593027535215,0.44873792458709877,0.42430086788813887,0.0,0.37318255250403876,0.33582089552238803,0.0,0.0
Guernsey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39890896692806,0.0
Guyana,0.0,0.6246653578440121,0.0,0.0,0.0,0.0,0.0,0.0,0.29079159935379645,0.0,0.0,0.0
Honduras,0.14246068455134137,0.5265036587542388,0.0,0.0,0.4274314965371876,0.4978186350888127,0.0,0.0,0.6591276252019386,0.3171641791044776,0.45209682918513466,0.0
Hong Kong,0.7848288621646624,0.6756584482802581,0.0,0.71875,0.7558146961941,0.6472181604621616,0.8180649308903889,0.5662921348314607,0.5796445880452342,0.6716417910447761,0.6323445846118877,0.0
Hungary,0.6993524514338576,0.7899679593415092,0.34328358208955223,0.0,0.3184783699688849,0.6955437831100031,0.7304725168756027,0.7956054931335831,0.5137318255250404,0.11194029850746269,0.7496164336856461,0.76
Iceland,0.2719703977798335,0.6228805996787435,0.08955223880597014,0.0,0.0,0.3926456840137114,0.3310832529733204,0.0,0.45557350565428106,0.0,0.6116604159563587,0.0
India,0.47918593894542094,0.7268833254912141,0.9253731343283582,1.0,0.6656916304612782,0.8233539598450785,0.6075216972034715,0.34257178526841453,0.678513731825525,0.0,0.6870098874872145,0.0
Indonesia,0.6242368177613322,0.7739360407573864,0.0,0.875,0.563622904747566,0.6029915861639139,0.798457087753134,0.5662921348314607,0.8917609046849757,0.708955223880597,0.8152062734401636,0.0
"Iran, Islamic Republic of",0.012950971322849215,0.4841156523291094,0.0,0.0,0.0,0.675444063571206,0.5998071359691418,0.7760299625468164,0.31502423263327944,0.0,0.8851979932784569,0.0
Iraq,0.5827937095282146,0.48902373728359805,0.0,0.0,0.21790625313660544,0.43004051106263624,0.5689488910318226,0.0,0.7124394184168013,0.0,0.0,0.0
Ireland,0.6799259944495838,0.825812426740501,0.0,0.0,0.652194939457812,0.6100031162355873,0.49951783992285437,0.6273067756213824,0.6998384491114701,0.39179104477611937,0.7218352734888704,0.2
Isle of Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251685393258427,0.0,0.0,0.0,0.0
Israel,0.6630897317298798,0.8001665774287584,0.6268656716417911,0.0,0.6313694001137543,0.6015892801495792,0.7184185149469624,0.1887640449438202,0.5201938610662358,0.48507462686567165,0.7529406750767133,0.0
Italy,0.8327474560592044,0.8752751502171455,0.746268656716418,1.0,0.7886971267373493,0.771268307884076,0.7360977177756348,0.8767041198501871,0.6760904684975767,0.5597014925373134,0.9148312308216843,0.36
Jamaica,0.0,0.5755845082991254,0.8955223880597015,0.0,0.234668272608652,0.014023060143346837,0.29893924783027964,0.1258426966292135,0.1906300484652666,0.0,0.0,0.0
Japan,0.9425429129406928,0.8749033255993813,0.9701492537313433,0.9270833333333334,0.980127547193433,0.8541872722099528,0.823529411764706,0.8284644194756554,0.9693053311793215,0.876865671641791,0.8614534119136916,0.0
Jersey,0.0,0.026771372479029092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055970149253731345,0.5318786225707467,0.0
Jordan,0.3367252543940796,0.6603605211493843,0.0,0.0,0.5363846231054903,0.8974758491741975,0.7360977177756348,0.0,0.5936995153473343,0.0,0.8044664166382544,0.0
