Country,Battle Royale,Collection Cards,FPS,Fighting,MOBA,Music,Puzzle,RPG,Racing,Sports,Strategy,TPS
Pakistan,0.0,0.530073175084776,0.0,0.0,0.8641752261144011,0.5562480523527578,0.5400192864030858,0.0,0.7269789983844911,0.0,0.0,0.0
Philippines,0.7174838112858465,0.7757323882613906,0.9552238805970149,0.875,0.7006524139315466,0.6327905889685259,0.8621022179363549,0.5243445692883895,0.7802907915993538,0.6343283582089552,0.45209682918513466,0.8
Russia,0.908922714658145,0.9528377654827771,0.8059701492537313,0.0,0.7604663571002183,0.9389841071985042,0.920642123773328,0.7844194756554307,0.9886914378029079,0.7276119402985074,0.8059438572565065,0.44
Saudi Arabia,0.5568917668825162,0.9052070319471711,0.5970149253731343,0.0,0.7339369954546107,0.4627609847304456,0.6943105110896818,0.0,0.8206785137318255,0.0,0.9452933701143725,0.0
Spain,0.8331791551032994,0.9007079540722233,0.7860696517412936,0.0,0.8312720027063096,0.8694297288875038,0.8011275127957866,0.8599250936329588,0.7609046849757674,0.5410447761194029,0.9624957381520628,0.48
South Africa,0.5989824236817762,0.7772621809744779,0.0,0.0,0.5531466425775369,0.469772514802119,0.4194792671166827,0.48239700374531835,0.42972536348949913,0.0,0.777133765200591,0.0
South Korea,0.8475691232397986,0.8937176512582545,0.9950248756218906,0.734375,0.8913450354547119,0.9801380984402419,0.9144969463195114,0.8749063670411985,0.9822294022617124,0.9888059701492538,0.8350494374360723,0.0
Thailand,0.7015109466543326,0.8685823070973883,0.9253731343283582,0.0,0.6634966041018434,0.697146418554957,0.8534233365477338,0.6606741573033708,0.8626817447495961,0.26119402985074625,0.7895073303784521,0.0
Turkey,0.7414431082331175,0.8643328828943678,0.0,0.0,0.5238131085014553,0.7055352134621377,0.8331726133076182,0.6921348314606741,0.873759519963074,0.4104477611940298,0.7548585066484829,0.0
Ukraine,0.7900092506938021,0.8516400375575197,0.029850746268656716,0.375,0.8716250125464218,0.7705671548769086,0.8678881388621021,0.4054931335830212,0.8352180936995154,0.03731343283582089,0.7199357069796892,0.0
United Kingdom,0.8792270531400966,0.9686477482301148,0.8955223880597015,0.75,0.9409850931204077,0.90732989143709,0.8561785369885658,1.0,0.9606892837910609,0.9328358208955224,0.9830584196480008,0.82
United States,1.0,1.0,0.9888059701492538,0.975,1.0,1.0,0.9893924783027964,0.9712474791126476,1.0,1.0,0.9981396107265154,1.0
Vietnam,0.6164662349676227,0.6726307335356059,0.9552238805970149,0.0,0.7697635096009079,0.8101013975118058,0.8706433393029344,0.27265917602996254,0.8481421647819063,0.29850746268656714,0.9330037504261849,0.0
