Country;Total E-Sports Earning;Average Broadband Internetspeed;Average mobile Internetspeed;Digital Competetiveness Index;Freedome House Index;Inverted Gender Inequality Index;Human Development Index;Internet Freedome Index;Nominal GDP;Total Olympic Medals;PPP GDP;PPP GDP per Capita;Population
Honduras;90590.74;41.82;46.52;;48;0.569;0.621;;32860;0;75715;7228;9903165
Senegal;89832.24;41.49;35.24;;68;0.47;0.511;;31221;1;81998;4515;18385728
Palestine;84732.84;84.24;;;;;0.715;;19206;0;36643;6688;5194019
Qatar;79669.11;164.28;318.95;78.37;25;0.78;0.855;;219570;8;326731;124834;2881053
Oman;79079.65;109.93;117.82;;24;0.7;0.816;;104902;0;201531;42188;5129492
Paraguay;61807.24;105.05;25.19;;65;0.555;0.717;;42820;1;117686;15578;7289492
Libya;50866.71;18.06;20.95;;10;0.741;0.718;44;46297;0;168371;24599;6871292
Sri Lanka;32526.34;42.32;27.44;;54;0.617;0.782;48;;2;321979;14223;21494113
Yemen;30376.68;11.59;11.67;;9;0.18;0.455;;19529;0;69580;2042;30129224
Ethiopia;23669.95;31.83;37.61;;21;0.48;0.498;27;156083;58;393847;3724;120231969
Saint Barthelemy;23193.00;;;;;;;;;0;;;10312
Nigeria;17086.71;36.60;74.17;;43;0.32;0.535;57;506601;27;1372624;6178;211400708
Greenland;15325.00;;;;;;;;;0;;41800;56877
Trinidad and Tobago;11643.84;107.37;38.28;;82;0.656;0.81;;28223;19;45556;32054;1399491
El Salvador;9673.85;53.05;38.58;;56;0.624;0.675;;33752;0;74057;11647;6645319
Faroe Islands;9560.61;;;;;;;;;0;;40000;50667
Ivory Coast;7536.90;59.51;32.74;;49;0.387;0.55;;;0;;;28307461
Guyana;7450.00;103.14;34.13;;73;0.546;0.714;;16309;1;48156;60648;798370
Mauritius;6530.04;58.00;63.55;;85;0.653;0.802;;14570;1;36794;29164;1272432
Jamaica;6426.91;73.16;44.97;;80;0.665;0.709;;17254;87;35395;12887;2965063
Monaco;5694.54;297.96;;;84;;;;;0;;115700;39242
Fiji;5651.67;27.90;28.24;;59;0.682;0.73;;5385;3;14386;15727;912241
Sudan;5555.84;21.35;12.71;;10;0.447;0.508;29;46705;1;214159;4471;45123589
Turkmenistan;5220.40;6.31;;;2;0.823;0.745;;82649;1;126355;19974;6209946
Namibia;5000.00;20.49;25.22;;77;0.555;0.615;;13486;5;30249;11440;2675918
Tanzania;4500.00;22.92;48.41;;36;0.44;0.549;;85421;2;228031;3600;62423747
Zimbabwe;4360.00;23.98;26.82;;28;0.468;0.593;49;29931;8;42465;2627;15092171
Jersey;3670.47;;;;;;;;;0;;56600;108333
Aland Islands;3547.38;;;;;;;;;0;;;30968
Tajikistan;3475.00;40.70;18.68;;7;0.715;0.685;;12796;4;52997;5293;9323012
New Caledonia;3437.97;;;;;;;;;0;;31100;298530
Madagascar;2858.00;38.94;;;61;0.444;0.501;;15969;0;57044;1916;28488174
Ghana;2808.76;63.00;20.08;;80;0.471;0.632;64;66622;5;229471;6974;32994082
Mozambique;2245.69;14.02;43.36;;45;0.463;0.446;;19909;2;52753;1556;32018917
Guernsey;2189.90;;;;;;;;;0;;52500;67012
Isle of Man;2036.00;;;;;;;;;0;;84600;85033
Samoa;1750.00;;;;83;0.582;0.707;;898;1;1280;6324;202506
French Polynesia;1745.63;;;;;;;;;0;;17000;297215
Zambia;1635.44;18.99;29.03;;54;0.46;0.565;58;29272;2;83122;4041;19169707
Kenya;1632.62;22.97;51.98;;52;0.494;0.575;68;118130;113;341999;6569;54985698
Cyprus;1577.53;100.39;173.60;63.67;92;0.877;0.896;;30864;1;49857;54611;1226167
Togo;1200.00;39.57;54.45;;42;0.42;0.539;;9001;1;25038;2754;8547000
Angola;1200.00;25.18;30.16;;28;0.463;0.586;61;117877;0;265631;7222;33849268
Andorra;952.26;229.63;;;93;;0.858;;3669;0;5704;68998;77355
Reunion;800.00;;;;;;;;;0;;;895312
Mauritania;759.00;27.44;;;36;0.368;0.556;;10966;0;32948;7437;4937132
Wallis And Futuna;600.00;;;;;;;;;0;;;11777
Gabon;540.50;55.52;;;20;0.459;0.706;;20330;1;41992;19197;2278825
Aruba;513.34;;;;;;;;3633;0;5449;49627;117094
Northern Mariana Islands;300.00;;;;;;;;;0;;24500;57468
Bahamas;263.00;84.00;;;91;0.671;0.812;;14114;16;17479;43913;399285
Belize;250.00;56.80;;;87;0.636;0.683;;3162;0;4929;10939;408487
Botswana;233.33;16.86;68.94;48.25;72;0.532;0.693;;19572;2;52214;19398;2351627
Bermuda;200.00;;;;;;;;;2;;80300;62268
Uganda;149.66;19.74;37.54;;35;0.47;0.525;50;49792;11;145247;3224;47380154
Maldives;121.54;31.62;128.52;;41;0.652;0.747;;7004;0;14448;36358;551879
Liechtenstein;56.47;265.13;;;90;;0.935;;;10;;139100;39300
Saint Martin;50.00;;;;;;;;;0;;;35874
US Minor Outlying Islands;30.00;;;;;;;;;0;;;250
Papua New Guinea;25.00;28.17;31.15;;61;0.275;0.558;;31362;0;42183;4516;9119010
Saint Kitts and Nevis;20.00;65.30;;;89;;0.777;;1052;0;1747;29662;53544
Virgin Islands;12.00;;;;;;;;;0;;;107268
Central African Republic;0.00;;;;7;0.328;0.404;;2736;0;5768;1127;4825711
Chad;0.00;;;;15;0.348;0.394;;11962;0;32025;1787;17970976
Liberia;0.00;12.56;;;60;0.352;0.481;;4375;0;9712;1788;5168241
Haiti;0.00;46.67;14.12;;31;0.365;0.535;;26580;2;39719;3248;11541685
Sierra Leone;0.00;21.70;;;63;0.367;0.477;;3520;0;17658;2082;8058823
Tonga;0.00;;;;81;0.369;0.745;;541;1;711;7125;104494
Guinea-Bissau;0.00;;;;43;0.373;0.483;;1887;0;5949;3072;2024283
Burkina Faso;0.00;60.26;;;30;0.379;0.449;;21076;1;63808;2726;21510181
Guinea;0.00;18.46;;;30;0.379;0.465;;23330;0;48401;3218;13132795
Mali;0.00;26.65;;;29;0.387;0.428;;20776;0;62007;2656;20295669
Niger;0.00;31.57;;;51;0.389;0.4;;16617;2;43319;1600;26993170
Gambia;0.00;;;;;0.389;0.5;;2277;0;7413;2804;2524534
Benin;0.00;25.20;;;59;0.398;0.525;;19236;0;59469;4300;13678942
Democratic Republic of Congo;0.00;21.26;26.67;;;0.399;0.479;;69474;0;147348;1474;92344709
South Sudan;0.00;;;;1;0.413;0.385;;7012;0;7743;516;12031000
Cameroon;0.00;23.74;17.70;;15;0.435;0.576;;48625;6;133455;4665;27884662
Congo;0.00;51.40;;;;0.436;0.571;;13031;0;25990;5155;5518087
Lesotho;0.00;32.58;;;66;0.443;0.514;;2584;0;6950;3251;2142249
Malawi;0.00;24.40;;;66;0.446;0.512;57;11277;0;38234;1682;21196168
Eswatini;0.00;;;;17;0.46;0.597;;4824;0;13371;11492;1181505
Burundi;0.00;11.13;;;14;0.495;0.426;;3234;2;11567;891;12269651
Sao Tome and Principe;0.00;;;;84;0.506;0.618;;625;0;1131;4874;221524
Suriname;0.00;22.60;;;79;0.573;0.73;;3470;2;11508;18427;600630
Bhutan;0.00;24.81;;;61;0.585;0.666;;2683;0;10871;14170;779898
Saint Vincent and the Grenadines;0.00;115.35;;;;0.61;0.751;;1039;0;1975;17793;111973
Rwanda;0.00;47.18;;;23;0.612;0.534;37;13149;0;41887;3090;13374397
Saint Lucia;0.00;130.01;;;;0.619;0.715;;2262;0;3399;18435;184957
Barbados;0.00;164.42;;;94;0.732;0.79;;6117;1;5470;18858;288725
Dominica;0.00;131.50;;;93;;0.72;;681;0;1055;14161;72570
Grenada;0.00;116.00;;;89;;0.795;;1274;3;2297;20075;113097
San Marino;0.00;113.93;;;97;;0.853;;1807;3;2694;78926;34017
Seychelles;0.00;40.40;;;79;;0.785;;1950;0;3958;39662;98347
Antigua and Barbuda;0.00;39.02;;;85;;0.788;;1864;0;2454;24012;103050
Cape Verde;0.00;29.19;;;;;;;2468;0;5574;9661;566087
Somalia;0.00;28.08;18.93;;8;;;;8738;0;22054;1374;16105171
Djibouti;0.00;26.58;;;24;;0.509;;3916;1;7098;6894;1053205
Micronesia;0.00;21.92;;;92;;0.628;;456;0;413;3931;116254
Vanuatu;0.00;16.13;;;82;;0.607;;1064;0;1002;3001;314464
Tuvalu;0.00;;;;93;;0.641;;65;0;63;5797;11931
Marshall Islands;0.00;;;;93;;0.639;;291;0;263;4669;59190
Palau;0.00;;;;92;;0.767;;262;0;290;16394;18094
Kiribati;0.00;;;;91;;0.624;;248;0;297;2381;127753
Comoros;0.00;;;;42;;0.558;;1348;0;3431;3463;869601
Equatorial Guinea;0.00;;;;5;;0.596;;15099;0;28583;18510;1454789
Eritrea;0.00;;;;3;;0.492;;2666;1;8155;2188;3546421
